mapping time: 49244.5452299
reduce time: 1.06958699226
TAs, [3163016, 4894]
3Js, [2360944, 4894]
6Ks, [2772912, 4894]
26o, [2500782, 7343]
67s, [2220696, 4894]
26s, [1843300, 4894]
67o, [3107154, 7343]
K7o, [4052670, 7343]
JJ, [5690436, 7347]
6Ko, [3981816, 7343]
J9o, [3910536, 7343]
TAo, [4606374, 7343]
J5o, [3464004, 7343]
T8o, [3650844, 7343]
29o, [2869992, 7343]
82o, [2703222, 7343]
QAs, [3241748, 4894]
92o, [2869992, 7343]
53o, [2661888, 7343]
TQo, [4207344, 7343]
A5o, [4237134, 7343]
A6o, [4235988, 7343]
TQs, [2911596, 4894]
Q4o, [3607194, 7343]
QAo, [4732206, 7343]
2Ko, [3708882, 7343]
KQo, [4513422, 7343]
29s, [2075940, 4894]
9Qo, [4065414, 7343]
49o, [2985618, 7343]
J3o, [3324108, 7343]
25o, [2516238, 7343]
QJo, [4269174, 7343]
6Js, [2477324, 4894]
QKo, [4513422, 7343]
KAo, [4797402, 7343]
T7o, [3517560, 7343]
Q8o, [3935784, 7343]
KAs, [3282896, 4894]
6Jo, [3512844, 7343]
76o, [3107154, 7343]
K5o, [3914826, 7343]
2Js, [2318928, 4894]
3Ko, [3776202, 7343]
JKs, [3063276, 4894]
9Qs, [2823008, 4894]
49s, [2146748, 4894]
69s, [2321424, 4894]
78o, [3307686, 7343]
93o, [2937894, 7343]
28o, [2703222, 7343]
55, [4430160, 7347]
K6o, [3981816, 7343]
34o, [2579406, 7343]
7Qs, [2658212, 4894]
54o, [2800638, 7343]
7Qo, [3801084, 7343]
JAo, [4668246, 7343]
JKo, [4448220, 7343]
4Ao, [4165860, 7343]
65o, [2932230, 7343]
2Jo, [3255948, 7343]
28s, [1970864, 4894]
69o, [3266520, 7343]
Q5o, [3680022, 7343]
3Jo, [3324108, 7343]
3To, [3126978, 7343]
58s, [2180408, 4894]
T2o, [3058986, 7343]
TKo, [4387200, 7343]
24o, [2436540, 7343]
8As, [3032760, 4894]
QTo, [4207344, 7343]
5To, [3248652, 7343]
JAs, [3201816, 4894]
5Ts, [2311212, 4894]
88, [5079660, 7347]
38s, [2000396, 4894]
4Jo, [3390942, 7343]
24s, [1802184, 4894]
8Ao, [4396968, 7343]
58o, [3041256, 7343]
43o, [2579406, 7343]
QKs, [3104056, 4894]
4As, [2890288, 4894]
2Ao, [4033632, 7343]
Q9o, [4065414, 7343]
64o, [2790102, 7343]
Q2o, [3472470, 7343]
2As, [2809056, 4894]
84o, [2895732, 7343]
63o, [2648112, 7343]
7Js, [2561472, 4894]
59s, [2237808, 4894]
A8o, [4396968, 7343]
4Qo, [3607194, 7343]
39o, [2937894, 7343]
TJo, [4057182, 7343]
27o, [2538228, 7343]
39s, [2117540, 4894]
TJs, [2816352, 4894]
27s, [1867200, 4894]
98o, [3531384, 7343]
4Qs, [2538288, 4894]
2Ks, [2604952, 4894]
